Model,Macro-F1,PR-AUC,Runtime Rank,Efficiency Rank,Composite Utility Score
Logistic Regression,0.8900851942640475,0.973701250212508,1.0,1.0,0.2
Random Forest,0.9795688566167943,0.9993968340040487,2.0,4.5,0.9529093131152906
HistGradientBoosting,0.9771594178327143,0.9991106394539188,3.0,4.0,0.9291970920778727
LightGBM-like,0.9771594178327143,0.9991106394539188,4.0,4.5,0.906020109073495
GCN,0.9114556091207948,0.9864948539446907,7.0,4.5,0.37374332992256776
GraphSAGE,0.9216050246195167,0.9872514393197602,5.0,4.5,0.46463487822046684
GAT,0.8910402848177437,0.9821212539950016,8.0,5.5,0.11946303126010926
Hybrid HGB+GNN,0.9801122864642681,0.9993555046890863,6.0,6.0,0.9121818624579418
