Model,Training Time (s),Inference Time (ms/sample),Peak Memory (MB),Parameter Count,Model Size (MB),Macro-F1,PR-AUC
Logistic Regression,0.02284420793876052,0.0002514645078128091,1.765625,12,0.0010614395141601562,0.8900851942640475,0.973701250212508
Random Forest,0.5494192920159549,0.01415051600883508,9.15625,151760,11.66907024383545,0.9795688566167943,0.9993968340040487
HistGradientBoosting,0.6416278750402853,0.004070923095290331,1.234375,5758,0.3359823226928711,0.9771594178327143,0.9991106394539188
LightGBM-like,0.916661208961159,0.003947256767776229,0.671875,5758,0.3359823226928711,0.9771594178327143,0.9991106394539188
GCN,1.2965932911029086,0.002508843431045757,25.171875,450,0.004216194152832031,0.9114556091207948,0.9864948539446907
GraphSAGE,0.9423227499937639,0.0017732543441115068,0.03125,866,0.006413459777832031,0.9216050246195167,0.9872514393197602
GAT,2.396175834001042,0.0030019283443741196,5.171875,518,0.005497932434082031,0.8910402848177437,0.9821212539950016
Hybrid HGB+GNN,1.058271500049159,0.0038565587814282896,8.296875,6272,0.4174070358276367,0.9801122864642681,0.9993555046890863
